,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Saveh,IR,35.0213,50.3566,106.14,7,0,9.44,clear sky
272,Najran,SA,17.4924,44.1277,97.86,10,100,13.58,overcast clouds
273,Ostersund,SE,63.1792,14.6357,70.25,94,75,12.66,broken clouds
274,Shimoda,JP,34.6667,138.95,78.1,95,22,10.49,few clouds
275,Mareeba,AU,-17.0,145.4333,68.43,89,86,2.77,overcast clouds
276,Klaksvik,FO,62.2266,-6.589,50.92,93,100,24.47,moderate rain
277,Saint-Leu,RE,-21.15,55.2833,70.66,67,56,10.13,broken clouds
278,Fjerritslev,DK,57.0813,9.2664,71.89,62,7,18.34,clear sky
279,Burnie,AU,-41.0667,145.9167,42.49,83,0,4.92,clear sky
280,Taltal,CL,-25.4,-70.4833,65.55,56,56,4.38,broken clouds
281,Kabo,CF,7.6994,18.629,71.69,92,100,1.32,overcast clouds
282,Volchanets,RU,42.9131,132.7469,65.82,95,74,0.98,broken clouds
283,Vao,NC,-22.6667,167.4833,72.39,78,99,18.48,light rain
284,Tromso,NO,69.6496,18.957,82.42,34,0,2.3,clear sky
285,Hohhot,CN,40.8106,111.6522,65.3,92,100,7.7,overcast clouds
286,San Blas,MX,21.5167,-105.2667,85.89,65,74,2.06,broken clouds
287,Dubbo,AU,-32.25,148.6167,48.33,100,100,3.44,overcast clouds
288,Lesnica,RS,44.6525,19.31,90.48,32,15,5.23,few clouds
289,Alice Springs,AU,-23.7,133.8833,35.15,80,0,5.75,clear sky
290,Lamar,US,33.6668,-95.5836,85.64,74,75,0.0,broken clouds
291,Esmeraldas,BR,-19.7625,-44.3139,74.26,38,0,7.72,clear sky
292,Broome,US,42.2506,-75.833,77.2,82,75,9.22,broken clouds
293,Ipixuna,BR,-1.7625,-48.8043,89.47,50,5,5.64,clear sky
294,Kangaatsiaq,GL,68.3065,-53.4641,39.04,89,99,4.21,overcast clouds
295,Itumbiara,BR,-18.4192,-49.2153,84.9,30,6,12.12,clear sky
296,Willowmore,ZA,-33.2926,23.4895,66.99,33,3,23.33,clear sky
297,Vanimo,PG,-2.6741,141.3028,76.96,94,100,8.01,light rain
298,Rabo De Peixe,PT,37.8,-25.5833,74.28,79,75,11.5,broken clouds
299,Bukama,CD,-9.2,25.85,88.9,24,11,4.72,few clouds
300,Tabuk,PH,17.4189,121.4443,76.06,91,100,3.2,overcast clouds
301,Peniche,PT,39.3558,-9.3811,82.08,79,2,10.33,clear sky
302,Doka,SD,13.5167,35.7667,91.83,35,11,4.9,few clouds
303,Cap-Aux-Meules,CA,47.3821,-61.8597,61.47,93,100,14.83,overcast clouds
304,Samoylovka,RU,51.184,43.7081,65.28,76,56,21.43,light rain
305,Talnakh,RU,69.4865,88.3972,60.87,59,93,15.79,overcast clouds
306,Chhindwara,IN,22.0667,78.9333,77.56,84,100,3.98,light rain
307,Bheramara,BD,24.0232,88.9925,85.98,72,92,6.33,overcast clouds
308,Shafranovo,RU,53.9667,54.7667,63.66,80,60,7.07,light rain
309,Kavieng,PG,-2.5744,150.7967,82.29,80,93,16.35,light rain
310,Tomatlan,MX,19.9333,-105.25,84.34,65,72,1.25,broken clouds
311,Daura,NG,11.5538,11.4085,87.75,44,82,2.86,broken clouds
312,Bethel,US,41.3712,-73.414,83.75,73,40,6.91,scattered clouds
313,Elizabeth City,US,36.2946,-76.2511,87.01,79,0,5.01,clear sky
314,Avera,US,33.194,-82.5271,80.91,53,5,5.88,clear sky
315,Turan,VN,16.0678,108.2208,87.78,58,20,8.05,few clouds
316,Ewa Beach,US,21.3156,-158.0072,76.98,66,0,16.11,clear sky
317,Megion,RU,61.0296,76.1136,60.82,71,98,10.11,overcast clouds
318,Labrea,BR,-7.2586,-64.7981,91.4,43,6,3.0,clear sky
319,Narsaq,GL,60.9167,-46.05,61.02,57,71,5.39,broken clouds
320,Aban,RU,56.67,96.06,54.45,96,100,5.73,overcast clouds
321,Oytal,KZ,42.9057,73.2697,76.8,25,3,3.42,clear sky
322,Bushehr,IR,28.9684,50.8385,93.45,52,0,14.05,clear sky
323,Codrington,AU,-38.2667,141.9667,50.31,66,100,8.97,overcast clouds
324,Wilmington,US,34.2257,-77.9447,78.94,86,100,6.91,overcast clouds
325,Altay,CN,47.8667,88.1167,59.79,40,53,3.47,broken clouds
326,Cidreira,BR,-30.1811,-50.2056,71.04,67,85,6.17,overcast clouds
327,Ilulissat,GL,69.2167,-51.1,36.73,93,100,3.42,overcast clouds
328,Lensk,RU,60.7253,114.9278,68.05,82,0,4.32,clear sky
329,Petauke,ZM,-14.2426,31.3253,69.62,45,92,5.55,overcast clouds
330,Hervey Bay,AU,-25.2986,152.8535,62.38,92,100,7.4,light rain
331,Sept-Iles,CA,50.2001,-66.3821,57.72,96,100,10.36,fog
332,Ambovombe,MG,-25.1667,46.0833,66.99,68,0,16.87,clear sky
333,Evensk,RU,61.95,159.2333,52.05,88,100,5.26,light rain
334,Novobirilyussy,RU,56.9514,90.6661,55.92,91,74,7.85,broken clouds
335,Victor Harbor,AU,-35.5667,138.6167,52.0,85,100,9.71,overcast clouds
336,Cuamba,MZ,-14.8031,36.5372,73.99,39,26,2.35,scattered clouds
337,North Bend,US,43.4065,-124.2243,58.15,94,100,5.75,overcast clouds
338,Imeni Poliny Osipenko,RU,52.4201,136.4853,69.84,89,100,4.81,overcast clouds
339,Lerwick,GB,60.1545,-1.1494,55.4,84,61,5.03,broken clouds
340,Madingou,CG,-4.1536,13.55,94.23,27,30,2.93,scattered clouds
341,Kirovskiy,RU,45.0917,133.5136,69.12,95,99,3.96,overcast clouds
342,Hudson Bay,CA,52.85,-102.3842,59.25,51,0,2.42,clear sky
343,Caldas Novas,BR,-17.7417,-48.625,83.48,27,16,10.71,few clouds
344,Naftalan,AZ,40.5067,46.825,83.5,70,100,14.03,moderate rain
345,Dutlwe,BW,-23.9833,23.9,64.83,41,100,8.28,overcast clouds
346,Sumbe,AO,-11.2061,13.8437,74.97,71,7,7.61,clear sky
